diary_date,activity_text,source_file,worksheet
2025-05-08,Application in for Sewer Plugs,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Delap Survey Inspected 8 Properties,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,004
2025-05-08,Delap Survey Inspected 8 Properties,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Delap Survey Inspected 8 Properties,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Delap Survey Inspected 8 Properties,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Demolish Fence Site Side of Sump,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,004
2025-05-08,Demolish Fence Site Side of Sump,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Demolish Fence Site Side of Sump,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Demolish Fence Site Side of Sump,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Received Survey,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,004
2025-05-08,Received Survey,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Received Survey,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Received Survey,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-09,Completed Demo of Brick Paving,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Completed Demo of Brick Paving,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Completed Demo of Brick Paving,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Delap Survey Inspected 9 Properties,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Delap Survey Inspected 9 Properties,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Delap Survey Inspected 9 Properties,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Ongoing Survice Location,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Ongoing Survice Location,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-09,Ongoing Survice Location,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,005
2025-05-12,Commence Vegetation Strip to basin,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Commence Vegetation Strip to basin,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Commence Vegetation Strip to basin,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Mobilisation of Posi Track,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Mobilisation of Posi Track,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Mobilisation of Posi Track,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Mobilsed Watercart,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Mobilsed Watercart,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-12,Mobilsed Watercart,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,006
2025-05-13,Commence Basin Topsoil Strip,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,007
2025-05-13,Commence Basin Topsoil Strip,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,007
2025-05-13,Commence Basin Topsoil Strip,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,007
2025-05-14,Commence General Site Vegetation Strip,001-Client reports/01. May 2025/Daily Reports 250514.xlsx,Table 1
2025-05-14,Commence General Site Vegetation Strip,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Commence General Site Vegetation Strip,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Commence General Site Vegetation Strip,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Complete Basin Topsoil Strip,001-Client reports/01. May 2025/Daily Reports 250514.xlsx,Table 1
2025-05-14,Complete Basin Topsoil Strip,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Complete Basin Topsoil Strip,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Complete Basin Topsoil Strip,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Drainage Order Placed,001-Client reports/01. May 2025/Daily Reports 250514.xlsx,Table 1
2025-05-14,Drainage Order Placed,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Drainage Order Placed,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Drainage Order Placed,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Fortnightly Progress Meeting,001-Client reports/01. May 2025/Daily Reports 250514.xlsx,Table 1
2025-05-14,Fortnightly Progress Meeting,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Fortnightly Progress Meeting,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Fortnightly Progress Meeting,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Meet with Maritime Museum and confirmed vibration monitor location,001-Client reports/01. May 2025/Daily Reports 250514.xlsx,Table 1
2025-05-14,Meet with Maritime Museum and confirmed vibration monitor location,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Meet with Maritime Museum and confirmed vibration monitor location,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-14,Meet with Maritime Museum and confirmed vibration monitor location,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,008
2025-05-15,Gluon onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Gluon onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Gluon onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Hard Barracading Onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Hard Barracading Onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Hard Barracading Onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Ongoing General Site Vegetation Strip,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Ongoing General Site Vegetation Strip,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Ongoing General Site Vegetation Strip,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Unknown Footing/ Pole discovered in ground,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Unknown Footing/ Pole discovered in ground,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Unknown Footing/ Pole discovered in ground,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Vibration Monitor Onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Vibration Monitor Onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Vibration Monitor Onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Yamaji Southern Corporation Onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Yamaji Southern Corporation Onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-15,Yamaji Southern Corporation Onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,009
2025-05-16,Additional Temp Fencing onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Additional Temp Fencing onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Additional Temp Fencing onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Basecourse for access track onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Basecourse for access track onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Basecourse for access track onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Ongoing Vegetation Strip,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Ongoing Vegetation Strip,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Ongoing Vegetation Strip,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Service location forrest street,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Service location forrest street,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-16,Service location forrest street,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,010
2025-05-19,Commence Soul Café Crossing Works dsirupted by found asbestos,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,011
2025-05-19,Commence Soul Café Crossing Works dsirupted by found asbestos,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,011
2025-05-19,Commence Soul Café Crossing Works dsirupted by found asbestos,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,011
2025-05-19,Detailed topsoil strip in conjunction with Structerre Consultant,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,011
2025-05-19,Detailed topsoil strip in conjunction with Structerre Consultant,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,011
2025-05-19,Detailed topsoil strip in conjunction with Structerre Consultant,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,011
2025-05-20,Completed Soul Café Crossing Works,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Completed Soul Café Crossing Works,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Completed Soul Café Crossing Works,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Dug test pits in gravel area to establish gravel thicknesses,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Dug test pits in gravel area to establish gravel thicknesses,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Dug test pits in gravel area to establish gravel thicknesses,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,First Delivery of Concrete Pipes onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,First Delivery of Concrete Pipes onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,First Delivery of Concrete Pipes onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Seived Soil and Removed Asbestos from Soul Café Crossing,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Seived Soil and Removed Asbestos from Soul Café Crossing,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-20,Seived Soil and Removed Asbestos from Soul Café Crossing,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,012
2025-05-21,Commenced Exposure of basecourse in northern lots,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Commenced Exposure of basecourse in northern lots,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Commenced Exposure of basecourse in northern lots,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,"Conducted Vibration Trials-Further investigation required on low vibration rolling, High Vibration Rolling to no longer be implemented",001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,"Conducted Vibration Trials-Further investigation required on low vibration rolling, High Vibration Rolling to no longer be implemented",001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,"Conducted Vibration Trials-Further investigation required on low vibration rolling, High Vibration Rolling to no longer be implemented",001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Initial Feedback Provided on APRA,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Initial Feedback Provided on APRA,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Initial Feedback Provided on APRA,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Placed Fencing to Forrest Road,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Placed Fencing to Forrest Road,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Placed Fencing to Forrest Road,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Proof Rolling to Lot 118 (Static Compaction only),001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Proof Rolling to Lot 118 (Static Compaction only),001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Proof Rolling to Lot 118 (Static Compaction only),001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Removal of Stripped Vegetation,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Removal of Stripped Vegetation,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Removal of Stripped Vegetation,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Soul café Crossing Open to Public,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Soul café Crossing Open to Public,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Soul café Crossing Open to Public,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Survey pick up of stripped area/ basecourse contaminated areas,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Survey pick up of stripped area/ basecourse contaminated areas,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-21,Survey pick up of stripped area/ basecourse contaminated areas,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,013
2025-05-22,Approval of Keith Gregory Sand,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Approval of Keith Gregory Sand,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Approval of Keith Gregory Sand,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Fence Removal Forrest Street Side,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Fence Removal Forrest Street Side,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Fence Removal Forrest Street Side,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Ongoing APRA Feedback,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Ongoing APRA Feedback,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Ongoing APRA Feedback,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Removal of Stripped Vegetation,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Removal of Stripped Vegetation,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Removal of Stripped Vegetation,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Removal/ Exposure of Basecourse in Northern Lots,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Removal/ Exposure of Basecourse in Northern Lots,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-22,Removal/ Exposure of Basecourse in Northern Lots,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,014
2025-05-23,Commence Pit Installs to Museum Place Line,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Commence Pit Installs to Museum Place Line,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Commence Pit Installs to Museum Place Line,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Mixing of basecourse with won clean material in Northern Lots,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Mixing of basecourse with won clean material in Northern Lots,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Mixing of basecourse with won clean material in Northern Lots,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,NDM of Foundation to Northern Lots,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,NDM of Foundation to Northern Lots,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,NDM of Foundation to Northern Lots,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Ongoing APRA Feedback,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Ongoing APRA Feedback,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-23,Ongoing APRA Feedback,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,015
2025-05-26,Commence Excavation of 300mm Drainage Lines,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Commence Excavation of 300mm Drainage Lines,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Commence Excavation of 300mm Drainage Lines,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Discovery of old sewer line not on DBYD,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Discovery of old sewer line not on DBYD,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Discovery of old sewer line not on DBYD,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Ongoing mixing of basecourse with clean won material,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Ongoing mixing of basecourse with clean won material,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-26,Ongoing mixing of basecourse with clean won material,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,016
2025-05-27,Laying of Pipe into Western Culverts,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,Laying of Pipe into Western Culverts,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,Laying of Pipe into Western Culverts,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,Ongoing mixing of basecourse with clean won material,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,Ongoing mixing of basecourse with clean won material,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,Ongoing mixing of basecourse with clean won material,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,TCD internal HSE audit Commenced,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,TCD internal HSE audit Commenced,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-27,TCD internal HSE audit Commenced,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,017
2025-05-28,Asbestos Discovered in Northern Lots,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Asbestos Discovered in Northern Lots,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Asbestos Discovered in Northern Lots,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Ongoing Excavation of Northern Culvert Lines,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Ongoing Excavation of Northern Culvert Lines,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Ongoing Excavation of Northern Culvert Lines,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Ongoing mixing of basecourse with clean won material,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Ongoing mixing of basecourse with clean won material,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Ongoing mixing of basecourse with clean won material,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Progress Meeting Onsite,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Progress Meeting Onsite,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,Progress Meeting Onsite,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,TCD internal HSE audit ongoing,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,TCD internal HSE audit ongoing,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-28,TCD internal HSE audit ongoing,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,018
2025-05-29,Asbestos Removed in Northern Lots,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,019
2025-05-29,Asbestos Removed in Northern Lots,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,019
2025-05-29,Asbestos Removed in Northern Lots,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,019
2025-05-29,Ongoing Placement of Liners and Pipework in Trench,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,019
